Имя,Фамилия,Телефон,Telegram,Email,Ссылка на VK,Сайт,Instagram,Название школы,Город,Страна,Специализация,Ведический астролог,Источник,Комментарий
Анна,Иванова,+7 916 123-45-67,@astro_anna,anna@example.com,,astro-anna.ru,,Школа Джйотиш,Москва,Россия,Джйотиш,да,https://t.me/jyotish_channel,Ведёт вебинары
Анна,Иванова,8(916)123-45-67,,ANNA@Example.com,,,,Школа Джйотиш,Москва,Россия,Джйотиш,да,https://vk.com/astro_group,Тот же человек другим написанием
Ольга,Петрова,89031234567,https://t.me/olga_jyotish,,https://vk.com/olga_astro,,,,Санкт-Петербург,Россия,Ведическая астрология,да,https://t.me/spb_astro,
Мария,Сидорова,,@maria_vedic,maria.sidorova@mail.ru,,,,Центр Ведических Знаний,Казань,Россия,Джйотиш,да,парсинг,
Ирина,Кузнецова,+79261112233,,irina@astro.pro,,irina-astro.pro,https://instagram.com/irina_astro,,Екатеринбург,Россия,Джйотиш и таро,да,парсинг,Есть свой магазин камней
Светлана,Морозова,,,svetlana@example.org,https://vk.com/svetlana_jyotish,,,,Новосибирск,Россия,Ведическая астрология,да,парсинг,
Наталья,Волкова,+7 (812) 555-33-11,@natalia_stars,,,,,Астро-школа Волковой,Санкт-Петербург,Россия,Джйотиш,да,парсинг,Крупный канал
Елена,Соколова,,https://t.me/+AbCdEfGhIjKl,,,,,,Москва,Россия,Джйотиш,да,парсинг,Только инвайт-ссылка
Татьяна,Лебедева,,,,,tatyana-jyotish.com,,Школа Лебедевой,Сочи,Россия,Ведическая астрология,да,парсинг,Только сайт
Оксана,Новикова,+7 999 888-77-66,@oksana_jyotish,oksana@example.com,https://vk.com/oksana_astro,,,,Краснодар,Россия,Джйотиш,да,парсинг,
,,+79161234567,,,,,,,,,,,,Строка без имени
Дарья,,не указан,@daria_vedic,,,,,,Владивосток,Россия,Джйотиш,да,парсинг,Телефон мусорный
Полина,Егорова,,,,,,,,Минск,Беларусь,Джйотиш,да,парсинг,Нет ни одного идентификатора
Алиса,Попова,+375291234567,@alisa_jyotish,alisa@example.by,,,,Школа Джйотиш Минск,Минск,Беларусь,Джйотиш,да,парсинг,Зарубежный номер
Ксения,Захарова,79161234599,https://t.me/ksenia_astro/128,,,,,,Москва,Россия,Джйотиш,да,парсинг,Ссылка на пост канала
Вера,Фёдорова,+7 916 000-11-22,@vera_stars,vera@example.com,,,,,Тула,Россия,Джйотиш,нет,парсинг,Не занимается камнями
Людмила,Орлова,+7 916 000-33-44,@ludmila_jyotish,,,,,Ведическая академия,Москва,Россия,Джйотиш,да,парсинг,
Галина,Никитина,+7 916 000-55-66,@galina_vedic,galina@example.com,https://vk.com/galina_astro,galina-astro.ru,,Центр Джйотиш,Ростов-на-Дону,Россия,Джйотиш,да,парсинг,Полный профиль
Юлия,Макарова,+7 916 000-77-88,@yulia_jyotish,,,,,,Уфа,Россия,Джйотиш,да,парсинг,
Инна,Белова,+7 916 000-99-00,@inna_stars,inna@example.com,,,,Школа Беловой,Самара,Россия,Ведическая астрология,да,парсинг,
